タイムスタンプ,問題文,選択肢１,選択肢２,選択肢３,選択肢４,正答,"参考文献(問題の確認に使いますが任意です)
※裏取りにwikipediaやニコニコ大百科といった誰でも編集できるサイトは危険",参考資料,"あとがき、解説
※正答が出されたのちに表示されます"
4/13/2026 20:59:41,スナックメーカー「湖池屋」の「湖」はどんな湖のことを指しているでしょう？,諏訪湖,琵琶湖,十和田湖,浜名湖,選択肢 1,https://koike-yafaq.dga.jp/faq_detail.html?id=66,,
4/13/2026 21:09:32,梶井基次郎の小説『桜の樹の下には』で、主人公が桜の樹の下に埋まっていると考えるのは何でしょう？,金,刀,自分,屍体,選択肢 4,https://www.aozora.gr.jp/cards/000074/files/427_19793.html,,
4/13/2026 21:17:23,長田高校マスコットキャラクターである、あすトラには、血の代わりに苅藻川の水が流れている。,正しい,正しくない,わからない,血の代わりに星に至らむのぞみが流れている,選択肢 3,,,
4/13/2026 21:20:11,QWERTY配列のキーボードで、右手人差し指のホームポジションは「J」ですが、左手人差し指のホームポジションは何でしょう？,S,D,F,G,選択肢 3,https://happyhackingkb.com/jp/life/hhkb_life83.html,,
4/13/2026 21:29:30,深夜アニメとして制作された続編『~MIRAI DAYS~』も人気を博した、朝比奈みらいとリコの不思議な出会いを描く『プリキュア』シリーズは何でしょう？,『ふたりはプリキュア』,『名探偵プリキュア！』,『魔法つかいプリキュア！』,『HUGっと！プリキュア』,選択肢 3,https://www.toei-anim.co.jp/tv/mahotsukai_precure2/,,
4/13/2026 21:44:39,『機動戦士ガンダム』シリーズにおいて、「ν(ニュー)ガンダム」や「サザビー」といったモビルスーツが登場する作品は何でしょう？,『機動戦士ガンダム 閃光のハサウェイ』,『機動戦士ガンダム 水星の魔女』,『機動戦士ガンダム 逆襲のシャア』,『機動戦士ガンダム GQuuuuuuX』,選択肢 3,https://www.gundam-cca.net/ms/index.html,,
4/13/2026 21:48:56,一般的に、カラーボールは犯人のどこに投げるのがよいとされているでしょう？,頭,胴体,足元,明後日の方向,選択肢 3,https://www.alsok.co.jp/corporate/recommend/security-color-ball.html,,
4/14/2026 20:05:24,「見て見ぬふり」を言い表す英語の表現で「部屋の中にいる」と言われる動物は何でしょう？,ゾウ,オオカミ,ヘビ,ライオン,選択肢 1,https://serai.jp/hobby/1201308,,「The elephant in the room」。全員が見えているはずなのに、触れると面倒なことになるのは分かりきっているのであえて誰も言及しないもののことだそうな。海外のことわざって面白いですよ。
4/14/2026 20:16:24,空気中では自然発火する恐れがあるため水に入れて保管する必要がある、 リンの同素体の一つといえば何でしょう？,赤リン,青リン,黄リン,黒リン,選択肢 3,https://www.chibatate.com/storage/yellow-phosphorus.html,,高校生の皆さん、とりあえず「赤リン」と「黄リン」の2択には持ち込めましたよね？？？
4/14/2026 20:52:29,『君とアイドルプリキュア♪』の「響カイト」役や『キルアオ』の「古波鮫シン」役など声優としても活躍している、Snow Manのメンバーは誰でしょう？,岩本照,ラウール,阿部亮平,佐久間大介,選択肢 4,https://anime.eiga.com/person/101616/#google_vignette,,Snow Manのピンクの人です。佐久間さんは芸能人枠とかでなく、オーディションとか受けて声優業をやってるらしいですね。キミプリの響カイト、めっちゃいいですよ。正直惚れました。
4/14/2026 21:00:00,数多の著名人に愛されたことから「カクテルの王様」の異名をとるカクテルは何でしょう？,ギムレット,ジン,マティーニ,ソルティドッグ,選択肢 3,https://liquorpage.com/what-is-martini/,,お酒はお好きですか？私は程々にしていますが、嫌いじゃないですよ。お酒は長田生の嗜みですからね。このマティーニはチャーチルやヘミングウェイといった人たちに愛されたそうな。
